Tau[ms],Cmd_Delay[ms],Pos_RMSE[m],Pos_MAE[m],Pos_MaxErr[m],Vel_RMSE[m/s],Vel_MAE[m/s],Vel_MaxErr[m/s]
50,10.0,0.007578,0.003492,0.035239,0.056837,0.019669,0.379705
50,20.0,0.008189,0.003741,0.038604,0.084129,0.026336,0.753285
50,30.0,0.010327,0.004566,0.046787,0.147546,0.039933,1.510973
50,40.0,0.014040,0.005825,0.070611,0.233131,0.058535,2.218316
100,10.0,0.006827,0.003296,0.029632,0.044455,0.016940,0.250765
100,20.0,0.008308,0.003928,0.036516,0.083740,0.027649,0.753285
100,30.0,0.012294,0.005456,0.051430,0.159132,0.046549,1.510973
100,40.0,0.017968,0.007447,0.090117,0.252640,0.070283,2.218316
150,10.0,0.006114,0.003057,0.025334,0.036260,0.014605,0.189664
150,20.0,0.008387,0.004056,0.034621,0.083472,0.028063,0.753285
150,30.0,0.013660,0.006115,0.059139,0.164646,0.049953,1.510973
150,40.0,0.020533,0.008620,0.101428,0.261569,0.076444,2.218316
200,10.0,0.005498,0.002817,0.022102,0.030479,0.012710,0.153084
200,20.0,0.008441,0.004132,0.033055,0.083269,0.028116,0.753285
200,30.0,0.014611,0.006585,0.064370,0.167626,0.051848,1.510973
200,40.0,0.022276,0.009459,0.109004,0.266256,0.079990,2.218316
